x	         y	 o3
-120.0258	34.4622	0.044
-119.7413	36.7055	0.081
-121.7333	36.4819	0.035
-119.2908	36.3325	0.08
-117.1289	32.8364	0.053
-117.1477	34.0588	0.077
-119.3152	34.2805	0.051
-121.2688	37.9516	0.059
-121.8836	38.0169	0.041
-122.7091	38.4436	0.027
-119.5036	36.5975	0.09
-121.8422	39.7575	0.069
-121.3811	38.7122	0.057
-122.2033	37.4824	0.029
-121.773	38.5352	0.052
-118.1277	34.1322	0.083
-116.4899	33.8194	0.068
-120.1847	39.3274	0.078
-117.2736	34.1066	0.096
-122.2672	37.8013	0.019
-117.9522	33.9252	0.065
-117.0753	33.1278	0.061
-117.4922	34.1005	0.094
-121.9616	37.5358	0.035
-118.8505	35.3458	0.097
-121.5752	36.9997	0.057
-120.8428	35.3664	0.036
-116.9424	32.7908	0.06
-122.1939	37.0119	0.032
-120.4577	34.6377	0.036
-117.2633	32.9524	0.051
-122.3977	37.7661	0.029
-122.238	38.1025	0.03
-118.5327	34.1991	0.105
-118.1894	33.8241	0.047
-116.7683	32.8422	0.078
-117.9239	34.1364	0.084
-117.6288	34.1033	0.095
-118.3169	34.1758	0.079
-118.4566	34.0505	0.067
-117.2755	34.2413	0.094
-117.2277	33.7888	0.081
-115.5631	32.7922	0.077
-118.2108	33.9288	0.048
-117.0592	32.6314	0.052
-120.0733	34.6077	0.059
-117.4152	34.0005	0.101
-121.9791	37.228	0.038
-122.5183	37.9727	0.028
-121.3622	36.8433	0.046
-117.2861	34.4158	0.089
-122.2941	38.3113	0.033
-120.6322	35.1239	0.036
-120.6578	35.2822	0.034
-121.3678	38.6136	0.078
-121.998	39.1888	0.062
-122.6336	41.7267	0.056
-119.0167	35.4381	0.085
-121.6413	38.0066	0.041
-122.0305	37.6541	0.029
-122.3808	40.5514	0.059
-117.5897	34.425	0.115
-122.0247	37.9391	0.043
-120.9942	37.6419	0.082
-119.8828	36.8417	0.094
-117.8499	34.1444	0.099
-116.2158	33.7083	0.059
-118.6836	34.2761	0.089
-121.1055	38.9394	0.093
-121.1152	36.2269	0.038
-117.75	34.0666	0.099
-118.2267	34.0664	0.064
-122.9219	39.033	0.05
-119.4027	35.0513	0.068
-117.0244	34.8938	0.079
-116.9383	32.5516	0.041
-117.9258	33.6738	0.056
-118.7758	35.2086	0.094
-117.3309	33.6763	0.082
-120.1963	34.5275	0.051
-120.6549	35.6147	0.071
-121.2647	38.7461	0.077
-119.7911	34.5416	0.063
-121.6191	39.1388	0.063
-120.6681	35.4917	0.061
-120.3786	37.9819	0.068
-121.8422	37.3913	0.039
-121.5764	40.5372	0.061
-122.1163	37.7099	0.024
-121.4208	38.3025	0.054
-119.2725	35.5036	0.082
-121.1717	36.4991	0.061
-118.87	34.2099	0.065
-121.7872	36.9325	0.036
-119.1431	34.2522	0.054
-120.4258	34.7233	0.046
-120.7644	38.3427	0.067
-120.8364	37.4883	0.073
-115.5164	32.6739	0.05
-120.9541	39.0997	0.105
-119.4572	34.4033	0.029
-119.7731	36.7819	0.102
-123.2002	39.1447	0.055
-121.4936	38.568	0.053
-120.8219	38.7247	0.09
-119.7058	37.7133	0.063
-120.9441	39.9397	0.055
-120.4336	37.2817	0.082
-120.6327	34.5961	0.041
-119.7164	36.8194	0.097
-122.2986	40.4531	0.079
-118.773	36.564	0.097
-120.0458	34.4897	0.056
-123.3497	39.4044	0.036
-121.75	39.1583	0.078
-118.1478	35.0503	0.061
-116.0553	34.1419	0.066
-121.0555	39.2336	0.092
-119.6436	36.3147	0.07
-122.0144	37.0522	0.039
-115.4831	32.6761	0.096
-122.1897	39.5172	0.065
-116.9869	32.5308	0.043
-121.5999	37.0794	0.067
-116.9763	32.4975	0.049
-115.6236	33.0325	0.086
-120.6802	38.2019	0.079
-119.0144	35.3853	0.073
-119.0627	35.3566	0.081
-116.8478	36.5089	0.08
-116.3888	34.0694	0.073
-119.8283	34.4455	0.043
-120.8456	39.3181	0.083
-122.0928	40.2622	0.08
-119.8416	37.5466	0.068
-116.8583	33.9208	0.077
-119.2458	34.4166	0.077
-117.1163	32.5136	0.048
-117.0558	32.3533	0.046
-115.5453	33.2136	0.066
-121.1644	38.683	0.102
-121	38.8906	0.111
-122.2366	40.1749	0.079
-117.3961	33.2169	0.047
-121.9908	36.9839	0.037
-121.2277	38.4719	0.067
-120.01	36.8672	0.071
-117.3722	35.7744	0.072
-121.5144	38.6366	0.1
-121.7305	38.6605	0.071
-120.5008	35.0316	0.038
-116.6186	32.575	0.074
-117.6755	33.6297	0.075
-122.0758	38.2269	0.035
-118.8341	36.4911	0.1
-120.4355	34.943	0.036
-120.0331	38.8117	0.058
-121.6233	36.6941	0.035
-121.78	37.68	0.049
-121.6177	39.7141	0.079
-117.325	34.5122	0.084
-118.5283	34.3833	0.112
-118.8097	34.4044	0.082
-122.0511	37.3558	0.028
-118.1305	34.6713	0.111
-121.8947	37.3483	0.037
-119.5938	37.743	0.051
-119.6908	34.4278	0.044
-122.3566	37.9602	0.027
-114.6005	33.6121	0.053
-117.9384	33.8306	0.08
-121.95	38.3583	0.044
-118.0433	33.9508	0.059
-119.9952	38.9102	0.055
-117.1527	32.7013	0.054